"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"16-May-2025","EQ","1,834.00","1,834.00","1,810.10","1,867.20","1,814.40","1,814.00","1,815.18","1,917.00","1,219.05","10,06,62,047","1,82,71,96,65,612.80","2,86,997"
"15-May-2025","EQ","1,849.90","1,869.90","1,825.00","1,834.20","1,863.10","1,867.20","1,849.52","1,917.00","1,219.05","87,88,351","16,25,42,70,538.10","1,95,431"
"14-May-2025","EQ","1,830.00","1,870.70","1,820.20","1,820.60","1,837.90","1,834.20","1,843.39","1,917.00","1,219.05","74,01,614","13,64,40,25,354.70","2,26,624"
"13-May-2025","EQ","1,870.00","1,883.70","1,816.60","1,870.80","1,824.50","1,820.60","1,834.02","1,917.00","1,219.05","88,17,763","16,17,19,33,283.30","2,82,085"
"12-May-2025","EQ","1,868.90","1,883.40","1,854.00","1,848.40","1,873.00","1,870.80","1,869.65","1,917.00","1,219.05","39,36,019","7,35,89,80,437.00","1,34,363"
"09-May-2025","EQ","1,855.00","1,871.10","1,836.50","1,874.90","1,850.00","1,848.40","1,848.90","1,917.00","1,219.05","36,86,209","6,81,54,20,471.70","1,42,316"
"08-May-2025","EQ","1,897.00","1,905.80","1,862.40","1,896.80","1,864.50","1,874.90","1,880.32","1,917.00","1,219.05","55,00,724","10,34,31,02,911.10","1,88,110"
"07-May-2025","EQ","1,901.00","1,917.00","1,885.50","1,901.00","1,892.70","1,896.80","1,899.09","1,917.00","1,219.05","55,54,616","10,54,87,24,277.00","1,84,822"
"06-May-2025","EQ","1,888.30","1,912.00","1,882.60","1,866.00","1,896.00","1,901.00","1,899.53","1,912.00","1,219.05","85,97,920","16,33,19,96,371.70","2,00,749"
"05-May-2025","EQ","1,868.00","1,873.50","1,849.20","1,851.90","1,866.00","1,866.00","1,864.43","1,904.30","1,219.05","35,48,839","6,61,65,47,877.00","1,03,413"
"02-May-2025","EQ","1,852.00","1,883.60","1,832.10","1,864.50","1,849.00","1,851.90","1,854.96","1,904.30","1,219.05","55,28,529","10,25,52,09,665.90","1,81,226"
"30-Apr-2025","EQ","1,837.00","1,876.90","1,827.00","1,823.80","1,854.80","1,864.50","1,854.65","1,904.30","1,219.05","91,39,821","16,95,11,67,803.70","1,52,336"
"29-Apr-2025","EQ","1,823.70","1,847.80","1,817.60","1,821.80","1,827.20","1,823.80","1,829.51","1,904.30","1,219.05","46,84,155","8,56,96,95,123.70","1,53,385"
