"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"16-May-2025","EQ","11,950.00","11,990.00","11,857.00","11,894.00","11,915.00","11,905.00","11,917.28","12,339.00","9,427.10","2,09,706","2,49,91,24,960.00","58,092"
"15-May-2025","EQ","11,672.00","11,932.00","11,643.00","11,672.00","11,898.00","11,894.00","11,810.51","12,339.00","9,427.10","3,71,371","4,38,60,81,964.00","85,017"
"14-May-2025","EQ","11,676.00","11,741.00","11,624.00","11,661.00","11,692.00","11,672.00","11,679.31","12,339.00","9,427.10","1,79,337","2,09,45,32,337.00","37,721"
"13-May-2025","EQ","11,700.00","11,748.00","11,566.00","11,736.00","11,675.00","11,661.00","11,660.55","12,339.00","9,427.10","3,07,678","3,58,76,95,343.00","73,888"
"12-May-2025","EQ","11,590.00","11,767.00","11,565.00","11,364.00","11,745.00","11,736.00","11,662.23","12,339.00","9,427.10","1,82,795","2,13,17,96,695.00","42,975"
"09-May-2025","EQ","11,480.00","11,558.00","11,313.00","11,631.00","11,373.00","11,364.00","11,378.05","12,339.00","9,408.05","2,00,270","2,27,86,82,501.00","44,207"
"08-May-2025","EQ","11,601.00","11,740.00","11,539.00","11,658.00","11,539.00","11,631.00","11,638.56","12,339.00","9,408.05","3,88,912","4,52,63,77,227.00","68,659"
"07-May-2025","EQ","11,651.00","11,700.00","11,553.00","11,693.00","11,650.00","11,658.00","11,638.22","12,339.00","9,408.05","2,17,460","2,53,08,47,913.00","46,430"
"06-May-2025","EQ","11,699.00","11,729.00","11,544.00","11,670.00","11,660.00","11,693.00","11,657.32","12,339.00","9,408.05","2,73,048","3,18,30,08,987.00","44,045"
"05-May-2025","EQ","11,702.00","11,728.00","11,652.00","11,644.00","11,664.00","11,670.00","11,690.29","12,339.00","9,408.05","1,45,699","1,70,32,63,841.00","34,830"
"02-May-2025","EQ","11,641.00","11,750.00","11,481.00","11,641.00","11,650.00","11,644.00","11,632.05","12,339.00","9,408.05","2,55,248","2,96,90,57,482.00","54,821"
"30-Apr-2025","EQ","11,869.00","11,925.00","11,500.00","11,869.00","11,635.00","11,641.00","11,690.29","12,339.00","9,408.05","6,30,392","7,36,94,67,532.00","84,540"
"29-Apr-2025","EQ","12,201.00","12,222.00","11,800.00","12,114.00","11,850.00","11,869.00","11,916.39","12,339.00","9,408.05","5,16,495","6,15,47,56,933.00","81,068"
"28-Apr-2025","EQ","12,232.00","12,339.00","12,001.00","12,237.00","12,128.00","12,114.00","12,176.64","12,339.00","9,408.05","5,16,745","6,29,22,16,725.00","85,617"
"25-Apr-2025","EQ","12,149.00","12,304.00","11,860.00","12,159.00","12,190.00","12,237.00","12,152.24","12,304.00","9,408.05","4,12,558","5,01,35,04,624.00","74,435"
